Random State,Alpha,Beta,Revisit Possible,First Full Path,First Optimal Path,Convergence Iteration,Iterations per Second,Total Time
10,1.5,1.5,True,33,34.0,35.0,14.29,2.45
10,1.5,3.0,True,4,5.0,5.0,14.71,0.34
10,3.0,1.5,True,33,34.0,35.0,8.58,4.08
10,3.0,3.0,True,4,5.0,5.0,8.33,0.6
10,1.5,1.5,False,1,6.0,7.0,17.07,0.41
10,1.5,3.0,False,1,2.0,6.0,15.79,0.38
10,3.0,1.5,False,1,,,13.85,72.21
10,3.0,3.0,False,1,2.0,4.0,16.0,0.25
20,1.5,1.5,True,250,251.0,257.0,8.9,28.87
20,1.5,3.0,True,2,3.0,5.0,9.43,0.53
20,3.0,1.5,True,250,251.0,257.0,9.17,28.04
20,3.0,3.0,True,2,3.0,3.0,8.33,0.36
20,1.5,1.5,False,1,2.0,3.0,17.65,0.17
20,1.5,3.0,False,1,2.0,5.0,16.13,0.31
20,3.0,1.5,False,1,2.0,3.0,15.79,0.19
20,3.0,3.0,False,1,2.0,4.0,15.38,0.26
30,1.5,1.5,True,11,12.0,13.0,8.44,1.54
30,1.5,3.0,True,6,8.0,9.0,8.91,1.01
30,3.0,1.5,True,11,12.0,13.0,8.44,1.54
30,3.0,3.0,True,6,7.0,8.0,8.42,0.95
30,1.5,1.5,False,1,2.0,7.0,16.67,0.42
30,1.5,3.0,False,1,2.0,5.0,16.67,0.3
30,3.0,1.5,False,1,2.0,3.0,15.79,0.19
30,3.0,3.0,False,1,2.0,5.0,15.62,0.32
40,1.5,1.5,True,125,126.0,127.0,9.06,14.01
40,1.5,3.0,True,1,2.0,4.0,10.81,0.37
40,3.0,1.5,True,125,126.0,127.0,9.05,14.04
40,3.0,3.0,True,1,2.0,2.0,8.7,0.23
40,1.5,1.5,False,1,2.0,3.0,17.65,0.17
40,1.5,3.0,False,1,2.0,4.0,16.67,0.24
40,3.0,1.5,False,1,2.0,9.0,14.75,0.61
40,3.0,3.0,False,1,2.0,3.0,16.67,0.18
50,1.5,1.5,True,45,46.0,47.0,8.22,5.72
50,1.5,3.0,True,4,5.0,10.0,11.63,0.86
50,3.0,1.5,True,45,46.0,47.0,9.22,5.1
50,3.0,3.0,True,4,5.0,10.0,9.8,1.02
50,1.5,1.5,False,1,2.0,5.0,16.67,0.3
50,1.5,3.0,False,1,2.0,3.0,16.67,0.18
50,3.0,1.5,False,1,2.0,5.0,15.62,0.32
50,3.0,3.0,False,1,2.0,5.0,15.15,0.33
60,1.5,1.5,True,96,98.0,102.0,9.21,11.07
60,1.5,3.0,True,3,5.0,6.0,16.67,0.36
60,3.0,1.5,True,96,97.0,98.0,8.79,11.15
60,3.0,3.0,True,3,5.0,6.0,9.09,0.66
60,1.5,1.5,False,1,,,14.03,71.29
60,1.5,3.0,False,1,2.0,4.0,16.67,0.24
60,3.0,1.5,False,1,,,14.01,71.38
60,3.0,3.0,False,1,2.0,11.0,18.64,0.59
70,1.5,1.5,True,336,338.0,339.0,8.87,38.22
70,1.5,3.0,True,8,10.0,14.0,13.73,1.02
70,3.0,1.5,True,336,338.0,340.0,9.14,37.19
70,3.0,3.0,True,8,10.0,15.0,9.87,1.52
70,1.5,1.5,False,1,3.0,10.0,14.29,0.7
70,1.5,3.0,False,1,1.0,2.0,18.18,0.11
70,3.0,1.5,False,1,2.0,5.0,14.29,0.35
70,3.0,3.0,False,1,1.0,2.0,16.67,0.12
80,1.5,1.5,True,72,74.0,76.0,10.04,7.57
80,1.5,3.0,True,4,6.0,12.0,11.11,1.08
80,3.0,1.5,True,72,73.0,82.0,9.44,8.69
80,3.0,3.0,True,4,6.0,7.0,8.64,0.81
80,1.5,1.5,False,1,,,13.64,73.3
80,1.5,3.0,False,1,2.0,7.0,15.56,0.45
80,3.0,1.5,False,1,,,13.57,73.67
80,3.0,3.0,False,1,2.0,3.0,15.79,0.19
90,1.5,1.5,True,25,26.0,27.0,8.71,3.1
90,1.5,3.0,True,2,4.0,8.0,19.51,0.41
90,3.0,1.5,True,25,26.0,27.0,14.75,1.83
90,3.0,3.0,True,2,4.0,5.0,16.67,0.3
90,1.5,1.5,False,2,4.0,6.0,28.57,0.21
90,1.5,3.0,False,1,1.0,7.0,15.91,0.44
90,3.0,1.5,False,2,,,14.24,70.24
90,3.0,3.0,False,1,1.0,6.0,15.38,0.39
100,1.5,1.5,True,50,52.0,52.0,9.4,5.53
100,1.5,3.0,True,2,3.0,4.0,8.89,0.45
100,3.0,1.5,True,50,51.0,53.0,9.46,5.6
100,3.0,3.0,True,2,3.0,13.0,11.21,1.16
100,1.5,1.5,False,1,2.0,3.0,18.75,0.16
100,1.5,3.0,False,1,2.0,4.0,17.39,0.23
100,3.0,1.5,False,1,2.0,3.0,16.67,0.18
100,3.0,3.0,False,1,2.0,3.0,16.67,0.18
