Selection Type,Revisit Possible,Bias,Best Generation,Best Score,Best Secondary Score,Generations per Second,Total Time
all to all,False,1.5,13.0,0.0,20.0,55.85,0.25
all to all,False,3.0,6.0,0.0,20.0,57.14,0.11
all to all,True,1.5,39.0,0.0,20.0,29.84,1.31
all to all,True,3.0,4.0,0.0,20.0,28.38,0.14
best to rest,False,1.5,13.0,0.0,20.0,55.85,0.25
best to rest,False,3.0,13.0,0.0,20.0,55.85,0.25
best to rest,True,1.5,24.0,0.0,20.0,32.3,0.74
best to rest,True,3.0,7.0,0.0,20.0,31.68,0.22
hybrid,False,1.5,1.0,1.58,26.0,58.18,17.24
hybrid,False,3.0,1.0,1.58,26.0,60.14,16.71
hybrid,True,1.5,68.0,1.41,32.0,45.72,21.93
hybrid,True,3.0,68.0,1.41,32.0,46.0,21.81
