Random State,Selection Type,Revisit Possible,Bias,First Full Path Generation,Optimal Path Generation,Best Generation,Best Score,Best Secondary Score,Generations per Second,Total Time
10,all to all,True,1.5,39.0,39.0,39,0.0,20,29.1,1.34
10,best to rest,True,1.5,24.0,24.0,24,0.0,20,32.43,0.74
10,hybrid,True,1.5,,,68,1.4142,32,43.69,22.89
10,all to all,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
10,best to rest,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
10,hybrid,False,1.5,,,1,1.5812,26,55.74,17.94
10,all to all,True,3.0,4.0,4.0,4,0.0,20,28.57,0.14
10,best to rest,True,3.0,7.0,7.0,7,0.0,20,31.82,0.22
10,hybrid,True,3.0,,,68,1.4142,32,43.69,22.89
10,all to all,False,3.0,6.0,6.0,6,0.0,20,50.0,0.12
10,best to rest,False,3.0,13.0,13.0,13,0.0,20,48.15,0.27
10,hybrid,False,3.0,,,1,1.5812,26,55.65,17.97
20,all to all,True,1.5,39.0,39.0,39,0.0,20,30.0,1.3
20,best to rest,True,1.5,24.0,24.0,24,0.0,20,32.43,0.74
20,hybrid,True,1.5,,,68,1.4142,32,43.63,22.92
20,all to all,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
20,best to rest,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
20,hybrid,False,1.5,,,1,1.5812,26,55.74,17.94
20,all to all,True,3.0,4.0,4.0,4,0.0,20,28.57,0.14
20,best to rest,True,3.0,7.0,7.0,7,0.0,20,31.82,0.22
20,hybrid,True,3.0,,,68,1.4142,32,43.61,22.93
20,all to all,False,3.0,6.0,6.0,6,0.0,20,50.0,0.12
20,best to rest,False,3.0,13.0,13.0,13,0.0,20,48.15,0.27
20,hybrid,False,3.0,,,1,1.5812,26,55.71,17.95
30,all to all,True,1.5,39.0,39.0,39,0.0,20,29.77,1.31
30,best to rest,True,1.5,24.0,24.0,24,0.0,20,32.43,0.74
30,hybrid,True,1.5,,,68,1.4142,32,43.63,22.92
30,all to all,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
30,best to rest,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
30,hybrid,False,1.5,,,1,1.5812,26,55.68,17.96
30,all to all,True,3.0,4.0,4.0,4,0.0,20,28.57,0.14
30,best to rest,True,3.0,7.0,7.0,7,0.0,20,31.82,0.22
30,hybrid,True,3.0,,,68,1.4142,32,43.48,23.0
30,all to all,False,3.0,6.0,6.0,6,0.0,20,50.0,0.12
30,best to rest,False,3.0,13.0,13.0,13,0.0,20,48.15,0.27
30,hybrid,False,3.0,,,1,1.5812,26,55.52,18.01
40,all to all,True,1.5,39.0,39.0,39,0.0,20,30.0,1.3
40,best to rest,True,1.5,24.0,24.0,24,0.0,20,32.43,0.74
40,hybrid,True,1.5,,,68,1.4142,32,43.54,22.97
40,all to all,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
40,best to rest,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
40,hybrid,False,1.5,,,1,1.5812,26,55.56,18.0
40,all to all,True,3.0,4.0,4.0,4,0.0,20,26.67,0.15
40,best to rest,True,3.0,7.0,7.0,7,0.0,20,30.43,0.23
40,hybrid,True,3.0,,,68,1.4142,32,43.4,23.04
40,all to all,False,3.0,6.0,6.0,6,0.0,20,50.0,0.12
40,best to rest,False,3.0,13.0,13.0,13,0.0,20,48.15,0.27
40,hybrid,False,3.0,,,1,1.5812,26,55.46,18.03
50,all to all,True,1.5,39.0,39.0,39,0.0,20,30.0,1.3
50,best to rest,True,1.5,24.0,24.0,24,0.0,20,32.0,0.75
50,hybrid,True,1.5,,,68,1.4142,32,46.73,21.4
50,all to all,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
50,best to rest,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
50,hybrid,False,1.5,,,1,1.5812,26,57.94,17.26
50,all to all,True,3.0,4.0,4.0,4,0.0,20,28.57,0.14
50,best to rest,True,3.0,7.0,7.0,7,0.0,20,31.82,0.22
50,hybrid,True,3.0,,,68,1.4142,32,46.75,21.39
50,all to all,False,3.0,6.0,6.0,6,0.0,20,50.0,0.12
50,best to rest,False,3.0,13.0,13.0,13,0.0,20,48.15,0.27
50,hybrid,False,3.0,,,1,1.5812,26,63.82,15.67
60,all to all,True,1.5,39.0,39.0,39,0.0,20,29.77,1.31
60,best to rest,True,1.5,24.0,24.0,24,0.0,20,32.0,0.75
60,hybrid,True,1.5,,,68,1.4142,32,45.09,22.18
60,all to all,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
60,best to rest,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
60,hybrid,False,1.5,,,1,1.5812,26,58.07,17.22
60,all to all,True,3.0,4.0,4.0,4,0.0,20,28.57,0.14
60,best to rest,True,3.0,7.0,7.0,7,0.0,20,31.82,0.22
60,hybrid,True,3.0,,,68,1.4142,32,46.66,21.43
60,all to all,False,3.0,6.0,6.0,6,0.0,20,50.0,0.12
60,best to rest,False,3.0,13.0,13.0,13,0.0,20,48.15,0.27
60,hybrid,False,3.0,,,1,1.5812,26,60.86,16.43
70,all to all,True,1.5,39.0,39.0,39,0.0,20,30.0,1.3
70,best to rest,True,1.5,24.0,24.0,24,0.0,20,32.43,0.74
70,hybrid,True,1.5,,,68,1.4142,32,45.19,22.13
70,all to all,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
70,best to rest,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
70,hybrid,False,1.5,,,1,1.5812,26,63.94,15.64
70,all to all,True,3.0,4.0,4.0,4,0.0,20,28.57,0.14
70,best to rest,True,3.0,7.0,7.0,7,0.0,20,31.82,0.22
70,hybrid,True,3.0,,,68,1.4142,32,51.12,19.56
70,all to all,False,3.0,6.0,6.0,6,0.0,20,85.71,0.07
70,best to rest,False,3.0,13.0,13.0,13,0.0,20,86.67,0.15
70,hybrid,False,3.0,,,1,1.5812,26,65.23,15.33
80,all to all,True,1.5,39.0,39.0,39,0.0,20,30.0,1.3
80,best to rest,True,1.5,24.0,24.0,24,0.0,20,32.43,0.74
80,hybrid,True,1.5,,,68,1.4142,32,46.9,21.32
80,all to all,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
80,best to rest,False,1.5,13.0,13.0,13,0.0,20,48.15,0.27
80,hybrid,False,1.5,,,1,1.5812,26,55.68,17.96
80,all to all,True,3.0,4.0,4.0,4,0.0,20,28.57,0.14
80,best to rest,True,3.0,7.0,7.0,7,0.0,20,31.82,0.22
80,hybrid,True,3.0,,,68,1.4142,32,46.58,21.47
80,all to all,False,3.0,6.0,6.0,6,0.0,20,50.0,0.12
80,best to rest,False,3.0,13.0,13.0,13,0.0,20,48.15,0.27
80,hybrid,False,3.0,,,1,1.5812,26,60.46,16.54
90,all to all,True,1.5,39.0,39.0,39,0.0,20,30.0,1.3
90,best to rest,True,1.5,24.0,24.0,24,0.0,20,32.43,0.74
90,hybrid,True,1.5,,,68,1.4142,32,47.04,21.26
90,all to all,False,1.5,13.0,13.0,13,0.0,20,86.67,0.15
90,best to rest,False,1.5,13.0,13.0,13,0.0,20,86.67,0.15
90,hybrid,False,1.5,,,1,1.5812,26,59.49,16.81
90,all to all,True,3.0,4.0,4.0,4,0.0,20,28.57,0.14
90,best to rest,True,3.0,7.0,7.0,7,0.0,20,31.82,0.22
90,hybrid,True,3.0,,,68,1.4142,32,49.6,20.16
90,all to all,False,3.0,6.0,6.0,6,0.0,20,85.71,0.07
90,best to rest,False,3.0,13.0,13.0,13,0.0,20,86.67,0.15
90,hybrid,False,3.0,,,1,1.5812,26,67.7,14.77
100,all to all,True,1.5,39.0,39.0,39,0.0,20,29.77,1.31
100,best to rest,True,1.5,24.0,24.0,24,0.0,20,32.0,0.75
100,hybrid,True,1.5,,,68,1.4142,32,51.81,19.3
100,all to all,False,1.5,13.0,13.0,13,0.0,20,86.67,0.15
100,best to rest,False,1.5,13.0,13.0,13,0.0,20,86.67,0.15
100,hybrid,False,1.5,,,1,1.5812,26,63.94,15.64
100,all to all,True,3.0,4.0,4.0,4,0.0,20,28.57,0.14
100,best to rest,True,3.0,7.0,7.0,7,0.0,20,31.82,0.22
100,hybrid,True,3.0,,,68,1.4142,32,45.07,22.19
100,all to all,False,3.0,6.0,6.0,6,0.0,20,50.0,0.12
100,best to rest,False,3.0,13.0,13.0,13,0.0,20,48.15,0.27
100,hybrid,False,3.0,,,1,1.5812,26,60.98,16.4
