GA Revisit Possible,Selection Type,ACO Revisit Possible,Alpha,Beta,GA Best Generation,GA Best Score,GA Best Secondary Score,GA Generations per Second,ACO First Full Path,ACO First Optimal Path,ACO Convergence Iteration,ACO Iterations per Second,Total Time
False,all to all,False,1.5,1.5,20.0,0.0,20.0,59.27,1.0,2.0,4.0,14.29,0.36
False,all to all,True,1.5,1.5,20.0,0.0,20.0,57.53,1.0,2.0,4.0,14.29,0.37
False,all to all,False,1.5,3.0,20.0,0.0,20.0,59.27,1.0,2.0,4.0,14.29,0.36
False,all to all,True,1.5,3.0,20.0,0.0,20.0,59.48,1.0,2.0,4.0,14.29,0.36
False,all to all,False,3.0,1.5,20.0,0.0,20.0,56.68,1.0,2.0,4.0,14.29,0.38
False,all to all,True,3.0,1.5,20.0,0.0,20.0,60.29,1.0,2.0,4.0,14.29,0.35
False,all to all,False,3.0,3.0,20.0,0.0,20.0,55.82,1.0,2.0,4.0,14.29,0.38
False,all to all,True,3.0,3.0,20.0,0.0,20.0,59.27,1.0,2.0,4.0,14.29,0.36
False,best to rest,False,1.5,1.5,45.0,0.0,20.0,57.03,1.0,2.0,4.0,14.29,0.82
False,best to rest,True,1.5,1.5,45.0,0.0,20.0,58.93,1.0,2.0,4.0,14.29,0.82
False,best to rest,False,1.5,3.0,45.0,0.0,20.0,55.28,1.0,2.0,4.0,14.29,0.86
False,best to rest,True,1.5,3.0,45.0,0.0,20.0,58.52,1.0,2.0,4.0,14.29,0.81
False,best to rest,False,3.0,1.5,45.0,0.0,20.0,48.25,1.0,2.0,4.0,14.29,0.93
False,best to rest,True,3.0,1.5,45.0,0.0,20.0,60.16,1.0,2.0,4.0,14.29,0.79
False,best to rest,False,3.0,3.0,45.0,0.0,20.0,53.15,1.0,2.0,4.0,14.29,0.87
False,best to rest,True,3.0,3.0,45.0,0.0,20.0,60.04,1.0,2.0,4.0,14.29,0.8
False,hybrid,False,1.5,1.5,1.0,1.58,26.0,67.52,1.0,2.4,4.2,18.45,1.03
False,hybrid,True,1.5,1.5,1.0,1.58,26.0,70.82,1.43,3.43,4.14,13.61,1.07
False,hybrid,False,1.5,3.0,1.0,1.58,26.0,63.42,1.0,2.1,4.8,17.62,1.11
False,hybrid,True,1.5,3.0,1.0,1.58,26.0,66.7,1.25,2.62,4.38,12.1,1.16
False,hybrid,False,3.0,1.5,1.0,1.58,26.0,70.97,1.0,2.6,3.8,17.26,0.98
False,hybrid,True,3.0,1.5,1.0,1.58,26.0,57.47,1.6,4.0,5.2,10.69,1.36
False,hybrid,False,3.0,3.0,1.0,1.58,26.0,68.86,1.0,2.12,5.62,17.44,1.14
False,hybrid,True,3.0,3.0,1.0,1.58,26.0,58.04,1.0,2.83,5.83,12.4,1.34
True,all to all,False,1.5,1.5,17.0,0.0,20.0,35.49,1.0,2.0,4.0,14.29,0.5
True,all to all,True,1.5,1.5,17.0,0.0,20.0,39.65,1.0,2.0,4.0,14.29,0.46
True,all to all,False,1.5,3.0,17.0,0.0,20.0,37.19,1.0,2.0,4.0,14.29,0.49
True,all to all,True,1.5,3.0,17.0,0.0,20.0,41.58,1.0,2.0,4.0,14.29,0.44
True,all to all,False,3.0,1.5,17.0,0.0,20.0,33.9,1.0,2.0,4.0,14.29,0.52
True,all to all,True,3.0,1.5,17.0,0.0,20.0,35.46,1.0,2.0,4.0,14.29,0.5
True,all to all,False,3.0,3.0,17.0,0.0,20.0,37.03,1.0,2.0,4.0,14.29,0.49
True,all to all,True,3.0,3.0,17.0,0.0,20.0,34.76,1.0,2.0,4.0,14.29,0.52
True,best to rest,False,1.5,1.5,13.0,0.0,20.0,34.54,1.0,2.0,4.0,14.29,0.39
True,best to rest,True,1.5,1.5,13.0,0.0,20.0,35.83,1.0,2.0,4.0,14.29,0.38
True,best to rest,False,1.5,3.0,13.0,0.0,20.0,36.83,1.0,2.0,4.0,14.29,0.37
True,best to rest,True,1.5,3.0,13.0,0.0,20.0,35.59,1.0,2.0,4.0,14.29,0.38
True,best to rest,False,3.0,1.5,13.0,0.0,20.0,37.92,1.0,2.0,4.0,14.29,0.37
True,best to rest,True,3.0,1.5,13.0,0.0,20.0,34.82,1.0,2.0,4.0,14.29,0.39
True,best to rest,False,3.0,3.0,13.0,0.0,20.0,37.71,1.0,2.0,4.0,14.29,0.37
True,best to rest,True,3.0,3.0,13.0,0.0,20.0,35.18,1.0,2.0,4.0,14.29,0.39
True,hybrid,False,1.5,1.5,43.0,1.58,24.0,43.38,1.0,2.1,5.5,16.65,1.54
True,hybrid,True,1.5,1.5,43.0,1.58,24.0,46.73,1.57,3.29,4.86,11.76,1.56
True,hybrid,False,1.5,3.0,43.0,1.58,24.0,43.91,1.0,2.0,6.1,17.81,1.55
True,hybrid,True,1.5,3.0,43.0,1.58,24.0,42.87,1.1,2.7,4.9,13.08,1.6
True,hybrid,False,3.0,1.5,43.0,1.58,24.0,42.86,1.0,2.0,4.2,16.42,1.45
True,hybrid,True,3.0,1.5,43.0,1.58,24.0,49.38,1.0,2.25,4.0,13.88,1.38
True,hybrid,False,3.0,3.0,43.0,1.58,24.0,44.95,1.0,2.0,4.5,17.08,1.45
True,hybrid,True,3.0,3.0,43.0,1.58,24.0,51.15,1.0,2.0,4.5,13.09,1.42
