Random State,GA Revisit Possible,Selection Type,ACO Revisit Possible,Alpha,Beta,GA Best Generation,GA Best Score,GA Best Secondary Score,GA Generations per Second,ACO First Full Path,ACO First Optimal Path,ACO Convergence Iteration,ACO Iterations per Second,Total Time
10,True,all to all,True,1.5,1.5,17,0.0,20,29.82,,,,,0.57
10,True,all to all,True,1.5,3.0,17,0.0,20,28.81,,,,,0.59
10,True,all to all,True,3.0,1.5,17,0.0,20,30.36,,,,,0.56
10,True,all to all,True,3.0,3.0,17,0.0,20,30.36,,,,,0.56
10,True,all to all,False,1.5,1.5,17,0.0,20,30.36,,,,,0.56
10,True,all to all,False,1.5,3.0,17,0.0,20,30.36,,,,,0.56
10,True,all to all,False,3.0,1.5,17,0.0,20,30.36,,,,,0.56
10,True,all to all,False,3.0,3.0,17,0.0,20,30.36,,,,,0.56
10,False,all to all,True,1.5,1.5,20,0.0,20,57.14,,,,,0.35
10,False,all to all,True,1.5,3.0,20,0.0,20,80.0,,,,,0.25
10,False,all to all,True,3.0,1.5,20,0.0,20,80.0,,,,,0.25
10,False,all to all,True,3.0,3.0,20,0.0,20,80.0,,,,,0.25
10,False,all to all,False,1.5,1.5,20,0.0,20,80.0,,,,,0.25
10,False,all to all,False,1.5,3.0,20,0.0,20,80.0,,,,,0.25
10,False,all to all,False,3.0,1.5,20,0.0,20,80.0,,,,,0.25
10,False,all to all,False,3.0,3.0,20,0.0,20,80.0,,,,,0.25
10,True,best to rest,True,1.5,1.5,13,0.0,20,54.17,,,,,0.24
10,True,best to rest,True,1.5,3.0,13,0.0,20,54.17,,,,,0.24
10,True,best to rest,True,3.0,1.5,13,0.0,20,54.17,,,,,0.24
10,True,best to rest,True,3.0,3.0,13,0.0,20,54.17,,,,,0.24
10,True,best to rest,False,1.5,1.5,13,0.0,20,39.39,,,,,0.33
10,True,best to rest,False,1.5,3.0,13,0.0,20,30.95,,,,,0.42
10,True,best to rest,False,3.0,1.5,13,0.0,20,30.95,,,,,0.42
10,True,best to rest,False,3.0,3.0,13,0.0,20,30.95,,,,,0.42
10,False,best to rest,True,1.5,1.5,45,0.0,20,47.37,,,,,0.95
10,False,best to rest,True,1.5,3.0,45,0.0,20,47.87,,,,,0.94
10,False,best to rest,True,3.0,1.5,45,0.0,20,47.87,,,,,0.95
10,False,best to rest,True,3.0,3.0,45,0.0,20,47.87,,,,,0.94
10,False,best to rest,False,1.5,1.5,45,0.0,20,47.87,,,,,0.94
10,False,best to rest,False,1.5,3.0,45,0.0,20,47.87,,,,,0.94
10,False,best to rest,False,3.0,1.5,45,0.0,20,47.87,,,,,0.94
10,False,best to rest,False,3.0,3.0,45,0.0,20,47.87,,,,,0.94
10,True,hybrid,True,1.5,1.5,43,1.5812,24,66.67,1.0,,,13.25,76.21
10,True,hybrid,True,1.5,3.0,43,1.5812,24,60.24,1.0,3.0,5.0,19.23,1.09
10,True,hybrid,True,3.0,1.5,43,1.5812,24,42.37,1.0,2.0,3.0,9.09,1.51
10,True,hybrid,True,3.0,3.0,43,1.5812,24,39.06,1.0,2.0,6.0,10.53,1.86
10,True,hybrid,False,1.5,1.5,43,1.5812,24,39.06,1.0,2.0,4.0,14.81,1.55
10,True,hybrid,False,1.5,3.0,43,1.5812,24,39.06,1.0,2.0,5.0,15.15,1.61
10,True,hybrid,False,3.0,1.5,43,1.5812,24,39.06,1.0,2.0,3.0,15.0,1.48
10,True,hybrid,False,3.0,3.0,43,1.5812,24,40.32,1.0,2.0,4.0,26.67,1.4
10,False,hybrid,True,1.5,1.5,1,1.5812,26,102.04,2.0,4.0,4.0,17.39,0.72
10,False,hybrid,True,1.5,3.0,1,1.5812,26,102.04,1.0,3.0,6.0,21.43,0.77
10,False,hybrid,True,3.0,1.5,1,1.5812,26,70.42,1.0,,,13.81,73.09
10,False,hybrid,True,3.0,3.0,1,1.5812,26,72.46,1.0,,,13.01,77.59
10,False,hybrid,False,1.5,1.5,1,1.5812,26,56.82,1.0,2.0,3.0,16.67,1.06
10,False,hybrid,False,1.5,3.0,1,1.5812,26,57.47,1.0,2.0,5.0,15.15,1.2
10,False,hybrid,False,3.0,1.5,1,1.5812,26,57.47,1.0,2.0,3.0,15.0,1.07
10,False,hybrid,False,3.0,3.0,1,1.5812,26,57.47,1.0,,,13.75,73.62
20,True,all to all,True,1.5,1.5,17,0.0,20,53.12,,,,,0.32
20,True,all to all,True,1.5,3.0,17,0.0,20,53.12,,,,,0.32
20,True,all to all,True,3.0,1.5,17,0.0,20,31.48,,,,,0.54
20,True,all to all,True,3.0,3.0,17,0.0,20,30.36,,,,,0.56
20,True,all to all,False,1.5,1.5,17,0.0,20,30.36,,,,,0.56
20,True,all to all,False,1.5,3.0,17,0.0,20,30.36,,,,,0.56
20,True,all to all,False,3.0,1.5,17,0.0,20,30.36,,,,,0.56
20,True,all to all,False,3.0,3.0,17,0.0,20,30.36,,,,,0.56
20,False,all to all,True,1.5,1.5,20,0.0,20,45.45,,,,,0.44
20,False,all to all,True,1.5,3.0,20,0.0,20,45.45,,,,,0.44
20,False,all to all,True,3.0,1.5,20,0.0,20,45.45,,,,,0.44
20,False,all to all,True,3.0,3.0,20,0.0,20,45.45,,,,,0.44
20,False,all to all,False,1.5,1.5,20,0.0,20,45.45,,,,,0.44
20,False,all to all,False,1.5,3.0,20,0.0,20,45.45,,,,,0.44
20,False,all to all,False,3.0,1.5,20,0.0,20,45.45,,,,,0.44
20,False,all to all,False,3.0,3.0,20,0.0,20,45.45,,,,,0.44
20,True,best to rest,True,1.5,1.5,13,0.0,20,30.95,,,,,0.42
20,True,best to rest,True,1.5,3.0,13,0.0,20,30.95,,,,,0.42
20,True,best to rest,True,3.0,1.5,13,0.0,20,30.95,,,,,0.42
20,True,best to rest,True,3.0,3.0,13,0.0,20,30.95,,,,,0.42
20,True,best to rest,False,1.5,1.5,13,0.0,20,30.95,,,,,0.42
20,True,best to rest,False,1.5,3.0,13,0.0,20,43.33,,,,,0.3
20,True,best to rest,False,3.0,1.5,13,0.0,20,54.17,,,,,0.24
20,True,best to rest,False,3.0,3.0,13,0.0,20,54.17,,,,,0.24
20,False,best to rest,True,1.5,1.5,45,0.0,20,84.91,,,,,0.53
20,False,best to rest,True,1.5,3.0,45,0.0,20,84.91,,,,,0.53
20,False,best to rest,True,3.0,1.5,45,0.0,20,67.16,,,,,0.67
20,False,best to rest,True,3.0,3.0,45,0.0,20,47.87,,,,,0.94
20,False,best to rest,False,1.5,1.5,45,0.0,20,47.87,,,,,0.94
20,False,best to rest,False,1.5,3.0,45,0.0,20,47.87,,,,,0.94
20,False,best to rest,False,3.0,1.5,45,0.0,20,47.87,,,,,0.94
20,False,best to rest,False,3.0,3.0,45,0.0,20,47.87,,,,,0.94
20,True,hybrid,True,1.5,1.5,43,1.5812,24,38.76,1.0,3.0,4.0,11.76,1.62
20,True,hybrid,True,1.5,3.0,43,1.5812,24,38.76,1.0,2.0,4.0,18.18,1.5
20,True,hybrid,True,3.0,1.5,43,1.5812,24,68.49,1.0,3.0,4.0,19.05,0.94
20,True,hybrid,True,3.0,3.0,43,1.5812,24,68.49,1.0,2.0,3.0,18.75,0.89
20,True,hybrid,False,1.5,1.5,43,1.5812,24,40.98,1.0,2.0,5.0,15.15,1.56
20,True,hybrid,False,1.5,3.0,43,1.5812,24,38.76,1.0,2.0,4.0,14.81,1.56
20,True,hybrid,False,3.0,1.5,43,1.5812,24,38.76,1.0,2.0,3.0,14.29,1.5
20,True,hybrid,False,3.0,3.0,43,1.5812,24,38.76,1.0,2.0,4.0,14.29,1.56
20,False,hybrid,True,1.5,1.5,1,1.5812,26,57.47,1.0,3.0,4.0,11.76,1.21
20,False,hybrid,True,1.5,3.0,1,1.5812,26,57.47,1.0,2.0,4.0,10.81,1.24
20,False,hybrid,True,3.0,1.5,1,1.5812,26,76.92,2.0,,,14.26,70.79
20,False,hybrid,True,3.0,3.0,1,1.5812,26,57.47,1.0,4.0,6.0,10.91,1.42
20,False,hybrid,False,1.5,1.5,1,1.5812,26,57.47,1.0,2.0,5.0,15.15,1.2
20,False,hybrid,False,1.5,3.0,1,1.5812,26,57.47,1.0,2.0,5.0,15.15,1.19
20,False,hybrid,False,3.0,1.5,1,1.5812,26,57.47,1.0,2.0,5.0,14.29,1.21
20,False,hybrid,False,3.0,3.0,1,1.5812,26,57.47,1.0,2.0,3.0,21.43,1.01
30,True,all to all,True,1.5,1.5,17,0.0,20,53.12,,,,,0.32
30,True,all to all,True,1.5,3.0,17,0.0,20,53.12,,,,,0.32
30,True,all to all,True,3.0,1.5,17,0.0,20,53.12,,,,,0.32
30,True,all to all,True,3.0,3.0,17,0.0,20,53.12,,,,,0.32
30,True,all to all,False,1.5,1.5,17,0.0,20,53.12,,,,,0.32
30,True,all to all,False,1.5,3.0,17,0.0,20,53.12,,,,,0.32
30,True,all to all,False,3.0,1.5,17,0.0,20,30.91,,,,,0.55
30,True,all to all,False,3.0,3.0,17,0.0,20,30.36,,,,,0.56
30,False,all to all,True,1.5,1.5,20,0.0,20,46.51,,,,,0.43
30,False,all to all,True,1.5,3.0,20,0.0,20,45.45,,,,,0.44
30,False,all to all,True,3.0,1.5,20,0.0,20,45.45,,,,,0.44
30,False,all to all,True,3.0,3.0,20,0.0,20,45.45,,,,,0.44
30,False,all to all,False,1.5,1.5,20,0.0,20,45.45,,,,,0.44
30,False,all to all,False,1.5,3.0,20,0.0,20,45.45,,,,,0.44
30,False,all to all,False,3.0,1.5,20,0.0,20,45.45,,,,,0.44
30,False,all to all,False,3.0,3.0,20,0.0,20,45.45,,,,,0.44
30,True,best to rest,True,1.5,1.5,13,0.0,20,30.95,,,,,0.42
30,True,best to rest,True,1.5,3.0,13,0.0,20,30.95,,,,,0.42
30,True,best to rest,True,3.0,1.5,13,0.0,20,30.95,,,,,0.42
30,True,best to rest,True,3.0,3.0,13,0.0,20,30.95,,,,,0.42
30,True,best to rest,False,1.5,1.5,13,0.0,20,30.95,,,,,0.42
30,True,best to rest,False,1.5,3.0,13,0.0,20,30.95,,,,,0.42
30,True,best to rest,False,3.0,1.5,13,0.0,20,30.95,,,,,0.42
30,True,best to rest,False,3.0,3.0,13,0.0,20,30.95,,,,,0.42
30,False,best to rest,True,1.5,1.5,45,0.0,20,47.87,,,,,0.94
30,False,best to rest,True,1.5,3.0,45,0.0,20,47.87,,,,,0.94
30,False,best to rest,True,3.0,1.5,45,0.0,20,69.23,,,,,0.65
30,False,best to rest,True,3.0,3.0,45,0.0,20,84.91,,,,,0.53
30,False,best to rest,False,1.5,1.5,45,0.0,20,84.91,,,,,0.53
30,False,best to rest,False,1.5,3.0,45,0.0,20,84.91,,,,,0.53
30,False,best to rest,False,3.0,1.5,45,0.0,20,51.14,,,,,0.88
30,False,best to rest,False,3.0,3.0,45,0.0,20,47.87,,,,,0.94
30,True,hybrid,True,1.5,1.5,43,1.5812,24,38.76,4.0,,,12.13,83.74
30,True,hybrid,True,1.5,3.0,43,1.5812,24,38.76,1.0,3.0,6.0,11.54,1.82
30,True,hybrid,True,3.0,1.5,43,1.5812,24,41.67,1.0,2.0,3.0,15.79,1.39
30,True,hybrid,True,3.0,3.0,43,1.5812,24,67.57,1.0,2.0,4.0,10.0,1.14
30,True,hybrid,False,1.5,1.5,43,1.5812,24,39.06,1.0,2.0,10.0,15.15,1.94
30,True,hybrid,False,1.5,3.0,43,1.5812,24,38.76,1.0,2.0,10.0,15.15,1.95
30,True,hybrid,False,3.0,1.5,43,1.5812,24,39.06,1.0,2.0,3.0,15.0,1.49
30,True,hybrid,False,3.0,3.0,43,1.5812,24,38.76,1.0,2.0,3.0,14.29,1.5
30,False,hybrid,True,1.5,1.5,1,1.5812,26,62.5,2.0,,,15.01,67.42
30,False,hybrid,True,1.5,3.0,1,1.5812,26,57.47,1.0,2.0,3.0,10.71,1.16
30,False,hybrid,True,3.0,1.5,1,1.5812,26,57.47,2.0,4.0,6.0,10.17,1.46
30,False,hybrid,True,3.0,3.0,1,1.5812,26,57.47,1.0,4.0,5.0,10.0,1.37
30,False,hybrid,False,1.5,1.5,1,1.5812,26,57.47,1.0,2.0,3.0,15.79,1.06
30,False,hybrid,False,1.5,3.0,1,1.5812,26,70.42,1.0,2.0,3.0,30.0,0.81
30,False,hybrid,False,3.0,1.5,1,1.5812,26,102.04,1.0,7.0,8.0,21.62,0.86
30,False,hybrid,False,3.0,3.0,1,1.5812,26,102.04,1.0,,,13.56,74.23
40,True,all to all,True,1.5,1.5,17,0.0,20,29.82,,,,,0.57
40,True,all to all,True,1.5,3.0,17,0.0,20,30.36,,,,,0.56
40,True,all to all,True,3.0,1.5,17,0.0,20,30.36,,,,,0.56
40,True,all to all,True,3.0,3.0,17,0.0,20,30.36,,,,,0.56
40,True,all to all,False,1.5,1.5,17,0.0,20,30.36,,,,,0.56
40,True,all to all,False,1.5,3.0,17,0.0,20,30.36,,,,,0.56
40,True,all to all,False,3.0,1.5,17,0.0,20,30.36,,,,,0.56
40,True,all to all,False,3.0,3.0,17,0.0,20,53.12,,,,,0.32
40,False,all to all,True,1.5,1.5,20,0.0,20,80.0,,,,,0.25
40,False,all to all,True,1.5,3.0,20,0.0,20,80.0,,,,,0.25
40,False,all to all,True,3.0,1.5,20,0.0,20,68.97,,,,,0.29
40,False,all to all,True,3.0,3.0,20,0.0,20,45.45,,,,,0.44
40,False,all to all,False,1.5,1.5,20,0.0,20,45.45,,,,,0.44
40,False,all to all,False,1.5,3.0,20,0.0,20,45.45,,,,,0.44
40,False,all to all,False,3.0,1.5,20,0.0,20,45.45,,,,,0.44
40,False,all to all,False,3.0,3.0,20,0.0,20,45.45,,,,,0.44
40,True,best to rest,True,1.5,1.5,13,0.0,20,30.95,,,,,0.42
40,True,best to rest,True,1.5,3.0,13,0.0,20,30.95,,,,,0.42
